NAME,FOLDERPATH,SYMBOLID,ALTMODE,BASE,CLAMPED,EXTRUDED,SNIPPET,POPUPINFO,SHAPE_LENG,SHAPE_LEN,AVG_SLOPE
대모산 나들길,임시 장소/대모산 나들길.kmz,0,0,0.0,-1,0,,실로암약수터-대모산 초소위-경작지-정자-야생화군락지-체력단련장-리기다소나무숲-독도모형-대모산정상,0.04844376,0.0484437566891,25.9%
도심고궁 나들길,도심고궁 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"서울의 대표적인 궁궐 3곳과 종묘를 걷는 코스이다. 경복궁, 창덕궁, 창경궁, 종묘의 전각과 연못들을 감상하다 보면 생각이상으로 오래 걸릴 수 있다.",0.02565645,0.0256564499302,정보 없음
문화자원길,도심고궁 나들길.kmz,2,0,0.0,-1,0,,,0.00172123,0.0017212250466,정보 없음
진입로1,독립공원안산 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00172723,0.00172723019781,정보 없음
문화자원연계부,독립공원안산 나들길.kmz,2,0,0.0,-1,0,,,0.00130352,0.00130352372041,정보 없음
문화자원연계부,독립공원안산 나들길.kmz,2,0,0.0,-1,0,,,0.00307406,0.00307405884602,정보 없음
독산삼성산나들길,임시 장소/독산삼성산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.02455548,0.0245554820272,정보 없음
독산삼성산나들길,임시 장소/독산삼성산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.01220403,0.0122040295422,정보 없음
독산삼성산나들길,임시 장소/독산삼성산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.01910926,0.019109258488,정보 없음
진입로1,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.0087389,0.00873890338816,정보 없음
진입로2,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00180307,0.00180307086449,정보 없음
덕수궁산책길,덕수궁산책길.kmz/임시 장소,1,0,0.0,-1,0,,,0.06347066,0.0634706575544,정보 없음
덕수궁프리코스,덕수궁산책길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00872386,0.00872385882842,정보 없음
